1.0000000000	-0.0010191083
0.9750000000	0.0094267516
0.9500000000	0.0183439493
0.9250000000	0.0259872613
0.9000000000	0.0324840769
0.8750000000	0.0382165602
0.8500000000	0.0429299364
0.8250000000	0.0471337581
0.8000000000	0.0507006368
0.7750000000	0.0537579621
0.7500000000	0.0563057327
0.7250000000	0.0585987267
0.7000000000	0.0606369428
0.6750000000	0.0622929938
0.6500000000	0.0638216564
0.6250000000	0.0650955412
0.6000000000	0.0661146493
0.5750000000	0.0671337584
0.5500000000	0.0678980897
0.5000000000	0.0691719745
0.4500000000	0.0698089174
0.4000000000	0.0700636942
0.3500000000	0.0696815291
0.3000000000	0.0687898094
0.2500000000	0.0672611468
0.2000000000	0.0645859877
0.1750000000	0.0628025483
0.1500000000	0.0606369428
0.1250000000	0.0579617837
0.1000000000	0.0545222934
0.0750000000	0.0501910833
0.0500000000	0.0442038212
0.0375000000	0.0402547774
0.0250000000	0.0351592360
0.0125000000	0.0273885356
0.0075000000	0.0224203826
0.0000000000	0.0000000000
0.0075000000	-0.0224203826
0.0125000000	-0.0275159240
0.0250000000	-0.0357961779
0.0375000000	-0.0412738854
0.0500000000	-0.0456050955
0.0750000000	-0.0519745227
0.1000000000	-0.0565605095
0.1250000000	-0.0601273882
0.1500000000	-0.0628025483
0.1750000000	-0.0649681528
0.2000000000	-0.0664968154
0.2500000000	-0.0687898094
0.3000000000	-0.0698089174
0.3500000000	-0.0699363058
0.4000000000	-0.0689171977
0.4500000000	-0.0667515922
0.5000000000	-0.0633121018
0.5500000000	-0.0579617837
0.5750000000	-0.0542675156
0.6000000000	-0.0495541404
0.6250000000	-0.0435668793
0.6500000000	-0.0359235673
0.6750000000	-0.0273885356
0.7000000000	-0.0189808922
0.7250000000	-0.0114649686
0.7500000000	-0.0045859872
0.7750000000	0.0015286624
0.8000000000	0.0067515924
0.8250000000	0.0112101908
0.8500000000	0.0145222928
0.8750000000	0.0168152867
0.9000000000	0.0175796180
0.9250000000	0.0166878983
0.9500000000	0.0135031847
0.9750000000	0.0076433121
1.0000000000	-0.0016560510
